date,ticker,open,high,low,close,volume
2018-02-14,DJI,24535.8203125,24925.94921875,24490.359375,24893.490234375,431160000
2018-02-15,DJI,25047.8203125,25203.94921875,24809.419921875,25200.369140625,416780000
2018-02-16,DJI,25165.939453125,25432.419921875,25149.259765625,25219.380859375,406730000
2018-02-20,DJI,25124.91015625,25179.009765625,24884.189453125,24964.75,421510000
2018-02-21,DJI,24988.060546875,25267.990234375,24792.990234375,24797.779296875,456070000
2018-02-22,DJI,24855.41015625,25156.720703125,24854.830078125,24962.48046875,378900000
2018-02-23,DJI,25050.509765625,25313.91015625,25028.73046875,25309.990234375,335420000
2018-02-26,DJI,25403.349609375,25732.80078125,25398.560546875,25709.26953125,473360000
2018-02-27,DJI,25735.779296875,25800.349609375,25407.830078125,25410.029296875,438390000
2018-02-28,DJI,25485.150390625,25576.150390625,25022.419921875,25029.19921875,451870000
2018-03-01,DJI,25024.0390625,25185.349609375,24442.560546875,24608.98046875,506280000
2018-03-02,DJI,24394.91015625,24592.4609375,24217.759765625,24538.060546875,437130000
2018-03-05,DJI,24471.310546875,24961.0,24387.150390625,24874.759765625,383910000
2018-03-06,DJI,24965.890625,24995.240234375,24708.41015625,24884.119140625,331770000
2018-03-07,DJI,24758.150390625,24849.6796875,24535.119140625,24801.359375,394070000
2018-03-08,DJI,24853.41015625,24950.490234375,24703.05078125,24895.2109375,327300000
2018-03-09,DJI,25004.890625,25336.330078125,25004.890625,25335.740234375,371570000
2018-03-12,DJI,25372.439453125,25449.150390625,25152.01953125,25178.609375,362580000
2018-03-13,DJI,25257.75,25376.400390625,24947.5,25007.029296875,447880000
2018-03-14,DJI,25086.970703125,25130.119140625,24668.830078125,24758.119140625,356830000
2018-03-15,DJI,24837.2890625,25053.869140625,24753.2890625,24873.66015625,316310000
2018-03-16,DJI,24877.33984375,25031.0,24857.08984375,24946.509765625,654240000
2018-03-19,DJI,24893.689453125,24893.689453125,24453.140625,24610.91015625,377990000
2018-03-20,DJI,24650.640625,24803.609375,24650.640625,24727.26953125,342510000
2018-03-21,DJI,24723.490234375,24977.650390625,24655.400390625,24682.310546875,343230000
2018-03-22,DJI,24526.009765625,24526.009765625,23938.740234375,23957.890625,439280000
2018-03-23,DJI,23995.1796875,24108.470703125,23509.060546875,23533.19921875,482550000
2018-03-26,DJI,23825.740234375,24232.30078125,23741.220703125,24202.599609375,479540000
2018-03-27,DJI,24276.619140625,24446.220703125,23708.73046875,23857.7109375,524480000
2018-03-28,DJI,23883.080078125,24092.470703125,23728.669921875,23848.419921875,530040000
2018-03-29,DJI,23949.1796875,24314.30078125,23928.130859375,24103.109375,463550000
2018-04-02,DJI,24076.599609375,24123.80078125,23344.51953125,23644.189453125,509820000
2018-04-03,DJI,23698.330078125,24044.349609375,23664.330078125,24033.359375,394130000
2018-04-04,DJI,23654.150390625,24308.9609375,23523.16015625,24264.30078125,388540000
2018-04-05,DJI,24313.91015625,24622.259765625,24313.91015625,24505.220703125,347790000
2018-04-06,DJI,24373.599609375,24434.400390625,23738.19921875,23932.759765625,395990000
2018-04-09,DJI,24037.51953125,24373.1796875,23954.830078125,23979.099609375,380790000
2018-04-10,DJI,24198.94921875,24511.349609375,24198.94921875,24408.0,368590000
2018-04-11,DJI,24274.189453125,24366.5703125,24150.869140625,24189.44921875,286360000
2018-04-12,DJI,24302.8203125,24592.119140625,24302.8203125,24483.05078125,336130000
2018-04-13,DJI,24582.8203125,24646.44921875,24243.740234375,24360.140625,331890000
2018-04-16,DJI,24483.150390625,24675.359375,24480.19921875,24573.0390625,305070000
2018-04-17,DJI,24681.7890625,24858.970703125,24681.7890625,24786.630859375,342410000
2018-04-18,DJI,24820.849609375,24832.5390625,24721.08984375,24748.0703125,302030000
2018-04-19,DJI,24711.30078125,24762.48046875,24557.029296875,24664.890625,381110000
2018-04-20,DJI,24657.390625,24678.0703125,24375.0390625,24462.939453125,537770000
2018-04-23,DJI,24488.0703125,24536.890625,24328.5390625,24448.689453125,351030000
2018-04-24,DJI,24579.939453125,24579.939453125,23828.73046875,24024.130859375,468180000
2018-04-25,DJI,24070.19921875,24146.33984375,23823.080078125,24083.830078125,437100000
2018-04-26,DJI,24128.720703125,24402.4609375,24128.720703125,24322.33984375,390360000
2018-04-27,DJI,24342.140625,24359.380859375,24194.44921875,24311.189453125,392810000
2018-04-30,DJI,24410.41015625,24498.23046875,24163.080078125,24163.150390625,416650000
2018-05-01,DJI,24117.2890625,24117.2890625,23808.189453125,24099.05078125,380070000
2018-05-02,DJI,24097.630859375,24185.51953125,23886.30078125,23924.98046875,385350000
2018-05-03,DJI,23836.23046875,23996.150390625,23531.310546875,23930.150390625,389240000
2018-05-04,DJI,23865.220703125,24333.349609375,23778.869140625,24262.509765625,329480000
2018-05-07,DJI,24317.66015625,24479.44921875,24263.419921875,24357.3203125,307670000
2018-05-08,DJI,24341.349609375,24412.33984375,24198.33984375,24360.2109375,344940000
2018-05-09,DJI,24399.1796875,24586.48046875,24323.869140625,24542.5390625,361580000
2018-05-10,DJI,24591.66015625,24794.990234375,24575.91015625,24739.529296875,304210000
2018-05-11,DJI,24758.640625,24868.650390625,24717.5,24831.169921875,274150000
2018-05-14,DJI,24879.369140625,24994.189453125,24862.51953125,24899.41015625,282860000
2018-05-15,DJI,24809.55078125,24809.55078125,24629.390625,24706.41015625,301900000
2018-05-16,DJI,24722.3203125,24801.189453125,24672.7890625,24768.9296875,280810000
2018-05-17,DJI,24752.400390625,24839.490234375,24639.400390625,24713.98046875,314650000
2018-05-18,DJI,24707.720703125,24774.970703125,24664.869140625,24715.08984375,269700000
2018-05-21,DJI,24883.060546875,25086.490234375,24883.060546875,25013.2890625,308920000
2018-05-22,DJI,25047.55078125,25064.990234375,24812.060546875,24834.41015625,288200000
2018-05-23,DJI,24757.7109375,24889.4609375,24667.119140625,24886.810546875,399610000
2018-05-24,DJI,24877.359375,24877.359375,24605.900390625,24811.759765625,347050000
2018-05-25,DJI,24781.2890625,24824.220703125,24687.810546875,24753.08984375,257210000
2018-05-29,DJI,24606.58984375,24635.1796875,24247.83984375,24361.44921875,395810000
2018-05-30,DJI,24467.830078125,24714.48046875,24459.08984375,24667.779296875,324870000
2018-05-31,DJI,24620.7890625,24620.7890625,24352.150390625,24415.83984375,429740000
2018-06-01,DJI,24542.08984375,24673.599609375,24542.08984375,24635.2109375,315710000
2018-06-04,DJI,24727.55078125,24859.369140625,24722.140625,24813.689453125,340400000
2018-06-05,DJI,24820.119140625,24838.779296875,24710.8203125,24799.98046875,306340000
2018-06-06,DJI,24854.140625,25146.4609375,24854.140625,25146.390625,316090000
2018-06-07,DJI,25192.140625,25326.08984375,25164.48046875,25241.41015625,357680000
2018-06-08,DJI,25209.2890625,25325.630859375,25165.69921875,25316.529296875,317510000
2018-06-11,DJI,25336.669921875,25402.830078125,25290.19921875,25322.310546875,276740000
2018-06-12,DJI,25346.8203125,25364.369140625,25247.0390625,25320.73046875,265750000
2018-06-13,DJI,25328.650390625,25362.0703125,25191.419921875,25201.19921875,329700000
2018-06-14,DJI,25254.650390625,25332.5,25138.599609375,25175.310546875,341170000
2018-06-15,DJI,25116.7109375,25130.8203125,24894.380859375,25090.48046875,659370000
2018-06-18,DJI,24944.279296875,25003.099609375,24825.76953125,24987.470703125,337070000
2018-06-19,DJI,24763.58984375,24763.58984375,24567.75,24700.2109375,376380000
2018-06-20,DJI,24771.169921875,24804.759765625,24628.390625,24657.80078125,359520000
2018-06-21,DJI,24639.2109375,24639.2109375,24406.630859375,24461.69921875,349570000
2018-06-22,DJI,24526.970703125,24663.1796875,24526.970703125,24580.890625,473970000
2018-06-25,DJI,24463.73046875,24463.73046875,24084.390625,24252.80078125,439130000
