Dataset,Method,Method Type,Variant Key,Use Technical State,Use QPL State,Use QPL Gate,Use QPL Gate V2,Use QPL Gate V3,Use QPL Reward,Final Portfolio Value,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Average Turnover,Total Transaction Cost,Win Rate
DOW30,Plain PPO Reproduced,QPL RL,plain_ppo_reproduced,False,False,False,False,False,False,1.780167489208825,0.7801674892088251,0.1855134481350404,0.1273516468849714,1.4001258081562031,2.012991178141767,-0.1511479812555561,1.2273630556889823,0.0396684968660845,0.0338768963236361,0.5550351288056206
DOW30,PPO + QPL Gate V2,QPL RL,ppo_qpl_gate_v2,False,False,False,True,False,False,2.72179013435175,1.72179013435175,0.3437477847913874,0.1246949914535241,2.4328844500085287,3.537075214591976,-0.1256540593353861,2.7356679649630933,0.0956427212630069,0.0816788839586079,0.5807962529274004
DOW30,PPO + QPL Gate V3 (Lee),QPL RL,ppo_qpl_gate_v3,False,False,False,False,True,False,3.278699586082614,2.278699586082614,0.4196269987455787,0.1251777515424341,2.863365170030088,4.083291268367967,-0.1221446254729056,3.435492942247069,0.1201287221460138,0.1025899287126958,0.5936768149882904
DOW30,PPO + QPL State + Gate V3 (Lee),QPL RL,ppo_qpl_state_gate_v3,True,True,False,False,True,False,2.952937652365364,1.952937652365364,0.3764598795429708,0.1223094308909004,2.67490485024824,3.875637080785804,-0.1238082362150478,3.040669110971594,0.1926749920651351,0.1645444432236254,0.5819672131147541
DOW30,Full QF-OPLRL V3 (Lee),QPL RL,full_qf_oplrl_v3,True,True,False,False,True,True,2.945162956338762,1.9451629563387616,0.3753894975349723,0.1223288560715484,2.6681342226365876,3.8602146553309393,-0.1239894942266824,3.0275911671086457,0.1951782076381827,0.166682189323008,0.5807962529274004
DOW30,Lee Oscillator Only,Lee Baseline,lee_only,False,False,False,False,False,False,0.5363230845233776,-0.4636769154766224,-0.1644245529321188,0.1493941481597855,-1.1270908483138256,-1.4521607235346703,-0.4896820320475376,-0.3357782033467726,1.19366538345138,1.043263545136506,0.5
NAS100,Plain PPO Reproduced,QPL RL,plain_ppo_reproduced,False,False,False,False,False,False,1.0827075326592093,0.0827075326592092,0.1920317513537788,0.1534690573064779,1.22103273398287,1.9544965993245669,-0.0965551709929589,1.9888292815284043,0.0586074930534028,0.0066812542080879,0.5
NAS100,PPO + QPL Gate V2,QPL RL,ppo_qpl_gate_v2,False,False,False,True,False,False,1.247125856817533,0.2471258568175329,0.6293418246834643,0.1449008542186531,3.4439514875227646,5.82340048383811,-0.0517301265589036,12.165866711477124,0.1173515769146513,0.0133780797682702,0.5526315789473685
NAS100,PPO + QPL Gate V3 (Lee),QPL RL,ppo_qpl_gate_v3,False,False,False,False,True,False,1.2903139794958234,0.2903139794958234,0.7566898836892466,0.1448690437151675,3.965205859106434,6.7207913694787615,-0.0476833633491344,15.869054331356883,0.1418048490753822,0.0161657527945935,0.5701754385964912
NAS100,PPO + QPL State + Gate V3 (Lee),QPL RL,ppo_qpl_state_gate_v3,True,True,False,False,True,False,1.2946764126189507,0.2946764126189507,0.7698455298940843,0.1438497437034026,4.044275800567962,6.8862262223474335,-0.0472636430298074,16.28832397470019,0.1512368558334154,0.0172410015650093,0.5614035087719298
NAS100,Full QF-OPLRL V3 (Lee),QPL RL,full_qf_oplrl_v3,True,True,False,False,True,True,1.2953249759569907,0.2953249759569907,0.7718059713464991,0.1437050242355257,4.055925169606259,6.911496087560838,-0.0470542489985786,16.402471355345874,0.1571765834171521,0.0179181305095553,0.5614035087719298
NAS100,Lee Oscillator Only,Lee Baseline,lee_only,False,False,False,False,False,False,0.989616778405505,-0.010383221594495,-0.019437348193658,0.1766016026247508,-0.0234314332987954,-0.0346371980177564,-0.1235362580981497,-0.1573412412914033,1.2389236322721406,0.1660157667244668,0.5
OLPS_djia,Plain PPO Reproduced,QPL RL,plain_ppo_reproduced,False,False,False,False,False,False,1.0691576397070686,0.0691576397070685,0.2281466737192956,0.3121137891844874,0.8116729452518625,1.6541601172799112,-0.1274980500135354,1.7894130435334124,0.1080511731163757,0.0088601961955428,0.4878048780487805
OLPS_djia,PPO + QPL Gate V2,QPL RL,ppo_qpl_gate_v2,False,False,False,True,False,False,1.190583479149286,0.1905834791492859,0.7093183676761585,0.2999592702105554,1.9359406314387144,4.167774843198772,-0.0845024609372455,8.39405574475426,0.1509896264207072,0.0123811493664979,0.5
OLPS_djia,PPO + QPL Gate V3 (Lee),QPL RL,ppo_qpl_gate_v3,False,False,False,False,True,False,1.2169644155203676,0.2169644155203676,0.8284095597243457,0.2979990459149962,2.173231788969059,4.695823986687958,-0.0820977961365537,10.090521289346755,0.1786976650629828,0.0146532085351645,0.5
